Index,Arguments,Edge Probability,Edges,Type,Set length
124,1,0.1,0,admissible,1
124,1,0.1,0,complete,1
124,1,0.1,0,preferred,1
124,1,0.1,0,stable,1
125,1,0.1,0,admissible,0
125,1,0.1,0,admissible,1
125,1,0.1,0,complete,1
125,1,0.1,0,preferred,1
125,1,0.1,0,stable,1
126,1,0.1,0,admissible,0
126,1,0.1,0,admissible,1
126,1,0.1,0,complete,1
126,1,0.1,0,preferred,1
126,1,0.1,0,stable,1
127,1,0.1,0,admissible,0
127,1,0.1,0,admissible,1
127,1,0.1,0,complete,1
127,1,0.1,0,preferred,1
127,1,0.1,0,stable,1
128,1,0.1,0,admissible,0
128,1,0.1,0,admissible,1
128,1,0.1,0,complete,1
128,1,0.1,0,preferred,1
128,1,0.1,0,stable,1
129,1,0.1,0,admissible,0
129,1,0.1,0,admissible,1
129,1,0.1,0,complete,1
129,1,0.1,0,preferred,1
129,1,0.1,0,stable,1
130,1,0.1,0,admissible,0
130,1,0.1,0,admissible,1
130,1,0.1,0,complete,1
130,1,0.1,0,preferred,1
130,1,0.1,0,stable,1
131,1,0.1,0,admissible,0
131,1,0.1,0,admissible,1
131,1,0.1,0,complete,1
131,1,0.1,0,preferred,1
131,1,0.1,0,stable,1
132,1,0.1,0,admissible,0
132,1,0.1,0,admissible,1
132,1,0.1,0,complete,1
132,1,0.1,0,preferred,1
132,1,0.1,0,stable,1
133,1,0.1,0,admissible,0
133,1,0.1,0,admissible,1
133,1,0.1,0,complete,1
133,1,0.1,0,preferred,1
133,1,0.1,0,stable,1
134,1,0.1,0,admissible,0
134,1,0.1,0,admissible,1
134,1,0.1,0,complete,1
134,1,0.1,0,preferred,1
134,1,0.1,0,stable,1
135,1,0.1,0,admissible,0
135,1,0.1,0,admissible,1
135,1,0.1,0,complete,1
135,1,0.1,0,preferred,1
135,1,0.1,0,stable,1
136,1,0.1,0,admissible,0
136,1,0.1,0,admissible,1
136,1,0.1,0,complete,1
136,1,0.1,0,preferred,1
136,1,0.1,0,stable,1
137,1,0.1,0,admissible,0
137,1,0.1,0,admissible,1
137,1,0.1,0,complete,1
137,1,0.1,0,preferred,1
137,1,0.1,0,stable,1
138,1,0.1,0,admissible,0
138,1,0.1,0,admissible,1
138,1,0.1,0,complete,1
138,1,0.1,0,preferred,1
138,1,0.1,0,stable,1
139,1,0.1,0,admissible,0
139,1,0.1,0,admissible,1
139,1,0.1,0,complete,1
139,1,0.1,0,preferred,1
139,1,0.1,0,stable,1
140,1,0.1,0,admissible,0
140,1,0.1,0,admissible,1
140,1,0.1,0,complete,1
140,1,0.1,0,preferred,1
140,1,0.1,0,stable,1
141,1,0.1,0,admissible,0
141,1,0.1,0,admissible,1
141,1,0.1,0,complete,1
141,1,0.1,0,preferred,1
141,1,0.1,0,stable,1
142,1,0.1,0,admissible,0
142,1,0.1,0,admissible,1
142,1,0.1,0,complete,1
142,1,0.1,0,preferred,1
142,1,0.1,0,stable,1
143,1,0.1,0,admissible,0
143,1,0.1,0,admissible,1
143,1,0.1,0,complete,1
143,1,0.1,0,preferred,1
143,1,0.1,0,stable,1
144,1,0.1,0,admissible,0
144,1,0.1,0,admissible,1
144,1,0.1,0,complete,1
144,1,0.1,0,preferred,1
144,1,0.1,0,stable,1
145,1,0.1,0,admissible,0
145,1,0.1,0,admissible,1
145,1,0.1,0,complete,1
145,1,0.1,0,preferred,1
145,1,0.1,0,stable,1
146,1,0.1,0,admissible,0
146,1,0.1,0,admissible,1
146,1,0.1,0,complete,1
146,1,0.1,0,preferred,1
146,1,0.1,0,stable,1
147,1,0.1,0,admissible,0
147,1,0.1,0,admissible,1
147,1,0.1,0,complete,1
147,1,0.1,0,preferred,1
147,1,0.1,0,stable,1
148,1,0.1,0,admissible,0
148,1,0.1,0,admissible,1
148,1,0.1,0,complete,1
148,1,0.1,0,preferred,1
148,1,0.1,0,stable,1
149,1,0.1,0,admissible,0
149,1,0.1,0,admissible,1
149,1,0.1,0,complete,1
149,1,0.1,0,preferred,1
149,1,0.1,0,stable,1
150,1,0.1,0,admissible,0
150,1,0.1,0,admissible,1
150,1,0.1,0,complete,1
150,1,0.1,0,preferred,1
150,1,0.1,0,stable,1
151,1,0.1,0,admissible,0
151,1,0.1,0,admissible,1
151,1,0.1,0,complete,1
151,1,0.1,0,preferred,1
151,1,0.1,0,stable,1
152,1,0.1,0,admissible,0
152,1,0.1,0,admissible,1
152,1,0.1,0,complete,1
152,1,0.1,0,preferred,1
152,1,0.1,0,stable,1
153,1,0.1,0,admissible,0
153,1,0.1,0,admissible,1
153,1,0.1,0,complete,1
153,1,0.1,0,preferred,1
153,1,0.1,0,stable,1
154,1,0.1,0,admissible,0
154,1,0.1,0,admissible,1
154,1,0.1,0,complete,1
154,1,0.1,0,preferred,1
154,1,0.1,0,stable,1
155,1,0.1,0,admissible,0
155,1,0.1,0,admissible,1
155,1,0.1,0,complete,1
155,1,0.1,0,preferred,1
155,1,0.1,0,stable,1
156,1,0.1,0,admissible,0
156,1,0.1,0,admissible,1
156,1,0.1,0,complete,1
156,1,0.1,0,preferred,1
156,1,0.1,0,stable,1
157,1,0.1,0,admissible,0
157,1,0.1,0,admissible,1
157,1,0.1,0,complete,1
157,1,0.1,0,preferred,1
157,1,0.1,0,stable,1
158,1,0.1,0,admissible,0
158,1,0.1,0,admissible,1
158,1,0.1,0,complete,1
158,1,0.1,0,preferred,1
158,1,0.1,0,stable,1
159,1,0.1,0,admissible,0
159,1,0.1,0,admissible,1
159,1,0.1,0,complete,1
159,1,0.1,0,preferred,1
159,1,0.1,0,stable,1
160,1,0.1,0,admissible,0
